attendance,study,assign,lms,grade
87.5,5.0,27.5,8.75,55
93.75,5.0,50.0,12.875,55
81.25,5.0,62.5,13.625,60
100.0,7.5,70.0,17.0,70
100.0,5.0,60.0,8.0,65
81.25,5.0,60.0,16.625,65
100.0,5.0,62.5,11.0,65
93.75,5.0,57.5,10.875,65
100.0,5.0,77.5,13.0,85
100.0,5.0,60.0,17.0,65
93.75,5.0,70.0,12.875,70
100.0,7.5,55.0,17.0,65
100.0,2.5,62.5,17.0,60
100.0,5.0,60.0,13.0,65
100.0,7.5,70.0,13.0,75
81.25,2.5,85.0,12.625,85
68.75,7.5,65.0,16.375,70
93.75,5.0,67.5,14.875,70
93.75,2.5,40.0,16.875,35
81.25,2.5,60.0,14.625,60
100.0,5.0,62.5,11.0,70
100.0,2.5,57.5,13.0,60
100.0,5.0,62.5,15.0,70
93.75,5.0,50.0,16.875,50
93.75,7.5,52.5,19.875,50
81.25,2.5,52.5,12.625,60
75.0,2.5,57.5,12.5,60
100.0,2.5,55.0,11.0,55
93.75,5.0,60.0,19.875,65
87.5,5.0,57.5,16.75,60
100.0,5.0,52.5,13.0,55
93.75,5.0,75.0,16.875,75
100.0,5.0,67.5,17.0,75
100.0,5.0,62.5,15.0,60
87.5,2.5,60.0,12.75,60
87.5,2.5,55.0,11.75,55
100.0,7.5,70.0,17.0,70
87.5,7.5,65.0,16.75,65
93.75,7.5,57.5,19.875,60
75.0,2.5,67.5,14.5,60
50.0,5.0,55.0,16.0,50
75.0,2.5,52.5,12.5,55
100.0,5.0,72.5,17.0,75
100.0,2.5,47.5,16.0,50
56.25,5.0,52.5,17.125,55
87.5,5.0,52.5,19.75,55
81.25,5.0,62.5,12.625,65
93.75,10.0,85.0,14.875,85
87.5,5.0,57.5,7.75,65
93.75,5.0,62.5,19.875,60
100.0,5.0,67.5,13.0,65
100.0,5.0,75.0,13.0,80
87.5,2.5,47.5,5.75,45
100.0,2.5,62.5,16.0,60
100.0,2.5,62.5,11.0,65
93.75,5.0,62.5,14.875,60
100.0,5.0,72.5,17.0,75
75.0,5.0,75.0,11.5,80
100.0,5.0,67.5,20.0,70
93.75,5.0,77.5,12.875,80
100.0,5.0,82.5,12.0,80
100.0,2.5,50.0,20.0,80
100.0,5.0,65.0,18.0,50
100.0,7.5,67.5,20.0,65
100.0,5.0,62.5,18.0,60
93.75,5.0,77.5,16.875,80
100.0,10.0,57.5,17.0,60
100.0,10.0,47.5,16.0,50
100.0,5.0,52.5,16.0,55
81.25,10.0,75.0,12.625,75
93.75,10.0,60.0,12.875,55
100.0,10.0,50.0,11.0,50
93.75,5.0,60.0,15.875,55
100.0,2.5,65.0,10.0,70
87.5,5.0,55.0,19.75,55
100.0,5.0,55.0,17.0,55
100.0,10.0,57.5,15.0,55
96.875,10.0,65.0,10.9375,65
100.0,2.5,45.0,16.0,50
56.25,5.0,57.5,12.125,55
100.0,2.5,55.0,20.0,60
93.75,7.5,47.5,13.875,45
87.5,5.0,57.5,12.75,55
